id,name_fr,name_en,category,image_url
1,Ver souple à queue plate,Stick worm (Senko-style),soft_plastic,
2,Ver souple à queue toupie,Curly tail worm,soft_plastic,
3,Creature bait,Creature bait,soft_plastic,
4,Imitation d'écrevisse,Soft craw,soft_plastic,
5,Swimbait souple,Paddle-tail swimbait,soft_plastic,
6,Grub à corps épais,Single-tail grub,soft_plastic,
7,Tube,Tube bait,soft_plastic,
8,Crankbait plongeur profond,Deep-diving crankbait,crankbait,
9,Crankbait peu profond,Shallow crankbait,crankbait,
10,Crankbait sans bavette,Lipless crankbait,crankbait,
11,Crankbait à bavette carrée,Square-bill crankbait,crankbait,
12,Crankbait pour eau froide,Wake bait / flat-side crank,crankbait,
13,Jig à poil d'orignal,Bucktail jig,jig,
14,Jig à marabout,Marabou jig,jig,
15,Jig à poils naturels,Hair jig,jig,
16,Jig finesse,Finesse jig,jig,
17,Swim jig,Swim jig,jig,
18,Football jig,Football jig,jig,
19,Jig flipping,Flipping jig,jig,
20,Spinnerbait à pale unique,Single-blade spinnerbait,spinnerbait,
21,Spinnerbait tandem,Tandem spinnerbait,spinnerbait,
22,Buzzbait,Buzzbait,spinnerbait,
23,Mouche sèche,Dry fly,fly,
24,Nymphe,Nymph,fly,
25,Streamer,Streamer,fly,
26,Popper,Popper / surface bug,fly,
27,Mouche noyée,Wet fly,fly,
28,Cuillère ondulante,Spoon (wobbling),spoon,
29,Cuillère tournante,Spinner (in-line),spoon,
30,Jerkbait suspendu,Suspending jerkbait,jerkbait,
31,Topwater walking,Walking topwater,topwater,
32,Topwater à hélice,Prop-bait topwater,topwater,
33,Vairon naturel,Live minnow,live_bait,
34,Ver de terre,Nightcrawler,live_bait,
