id,common_name_fr,common_name_en,scientific_name,family,typical_habitat,image_url
1,Achigan à grande bouche,Largemouth Bass,Micropterus salmoides,Centrarchidae,"Lacs et étangs chauds, herbiers denses, structures submergées",
2,Achigan à petite bouche,Smallmouth Bass,Micropterus dolomieu,Centrarchidae,"Lacs et rivières clairs à fond rocheux, eaux fraîches",
3,Doré jaune,Walleye,Sander vitreus,Percidae,"Lacs et rivières moyens à grands, eaux teintées, fonds graveleux",
4,Doré noir,Sauger,Sander canadensis,Percidae,"Grandes rivières turbides, fonds sablonneux et rocheux",
5,Grand brochet,Northern Pike,Esox lucius,Esocidae,"Baies herbeuses des lacs et rivières lentes, herbiers",
6,Maskinongé,Muskellunge,Esox masquinongy,Esocidae,"Lacs et rivières aux herbiers étendus, structures profondes",
7,Truite mouchetée,Brook Trout,Salvelinus fontinalis,Salmonidae,"Ruisseaux froids et lacs nordiques oxygénés, 7-16°C",
8,Truite arc-en-ciel,Rainbow Trout,Oncorhynchus mykiss,Salmonidae,"Rivières et lacs froids et bien oxygénés, 10-18°C",
9,Truite brune,Brown Trout,Salmo trutta,Salmonidae,"Rivières à courant modéré et lacs froids, structures",
10,Touladi,Lake Trout,Salvelinus namaycush,Salmonidae,"Grands lacs profonds et froids du Bouclier canadien",
11,Saumon atlantique,Atlantic Salmon,Salmo salar,Salmonidae,"Rivières à fort débit (anadrome) et estuaires en migration",
12,Ouananiche,Landlocked Salmon,Salmo salar (forme dulcicole),Salmonidae,"Grands lacs froids du Québec (Saint-Jean, Sacacomie), tributaires",
13,Perchaude,Yellow Perch,Perca flavescens,Percidae,"Lacs et étangs à fond mixte, herbiers, en bancs",
14,Crapet-soleil,Pumpkinseed Sunfish,Lepomis gibbosus,Centrarchidae,"Étangs et baies peu profondes avec herbiers et nénuphars",
15,Barbue de rivière,Channel Catfish,Ictalurus punctatus,Ictaluridae,"Rivières moyennes à grandes avec fosses profondes et structures",
